"Source:","/home/jordi/Kicad/a_Neptuno/MIDI_I2S_SBC_Pmod_Edge_Interface_GITHUB/addon-edge-rpi-i2s-pmod.kicad_sch"
"Date:","Wed 16 Mar 2022 23:13:06 CET"
"Tool:","Eeschema 6.0.0-d3dd2cf0fa~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","35"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"8","1","J5","Conn_01x06","Connector_Generic:Conn_01x06","gomaDOSzero:UDA1334","~"
"9","1","J6","Conn_01x06","Connector_Generic:Conn_01x06","gomaDOSzero:PCM5102","~"
"10","1","J7","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"11","1","J8","Conn_01x04","Connector_Generic:Conn_01x04","gomaDOSzero:I2C_DISPLAY_MULTI2","~"
"12","1","J9","Conn_01x05","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~"
"13","1","J10","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"14","1","J12","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_2x01_P2.54mm_Horizontal","~"
"15","1","J13","Conn_01x01","Connector_Generic:Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"16","1","JP5","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"17","9","JP11, JP21, JP22, JP23, JP41, JP42, JP43, JP44, JP45","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~"
"18","1","JP12","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~"
"19","2","JPS1, JPS2","SolderJumper_3_Open","Jumper:SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels","~"
"20","2","R1, R2","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"21","1","RPI1","RASPBERRYPI_BPLUS_BONNETNODIM","gomaDOSzero-eagle-import:RASPBERRYPI_BPLUS_BONNETNODIM","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
